"type","group_code","job_title_id","title","service","personnel_category","military_occupation_id","service_code_type","code_status","service_title","status"
"LABOR","2500","2502","Telecommunications Mechanic","Marine Corps","Enlisted","0612","MOS","Active","Tactical Switching Operator",NULL
"LABOR","2500","2502","Telecommunications Mechanic","Marine Corps","Enlisted","0613","MOS","Active","Construction Wireman",NULL
"LABOR","2500","2502","Telecommunications Mechanic","Marine Corps","Enlisted","0619","MOS","Active","Telecommunications Systems Chiefs",NULL
"LABOR","2500","2502","Telecommunications Mechanic","Marine Corps","Enlisted","0842","MOS","Active","Field Artillery Radar Operator",NULL
"LABOR","2500","2502","Telecommunications Mechanic","Marine Corps","Enlisted","2821","MOS","Active","Technical Controller Marine",NULL
"LABOR","2500","2502","Telecommunications Mechanic","Marine Corps","Enlisted","2823","MOS","Active","Technical Control Chief",NULL
"LABOR","2500","2502","Telecommunications Mechanic","Marine Corps","Enlisted","2831","MOS","Active","Digital Wideband Repairer",NULL
"LABOR","2500","2502","Telecommunications Mechanic","Marine Corps","Enlisted","2834","MOS","Active","Digital Wideband Technician",NULL
"LABOR","2500","2502","Telecommunications Mechanic","Marine Corps","Enlisted","2844","MOS","Active","Ground Communications Organizational Repairer",NULL
"LABOR","2500","2502","Telecommunications Mechanic","Marine Corps","Enlisted","2846","MOS","Active","Ground Radio Intermediate Repairer",NULL
"LABOR","2500","2502","Telecommunications Mechanic","Marine Corps","Enlisted","2847","MOS","Active","Telephone Systems/Personal Computer Repairer",NULL
"LABOR","2500","2502","Telecommunications Mechanic","Marine Corps","Enlisted","4612","MOS","Active","Combat Camera Production Specialist",NULL
"LABOR","2500","2502","Telecommunications Mechanic","Marine Corps","Enlisted","5939","MOS","Active","Aviation Communication Systems Technician",NULL
"LABOR","2500","2502","Telecommunications Mechanic","Navy","Enlisted","IC","RATING","Active","Interior Communications Electrician",NULL
"LABOR","2500","2504","Wire Communications Cable Splicing","Air Force","Enlisted","3D1X7","AFSC","Active","Cable and Antenna Systems",NULL
"LABOR","2500","2504","Wire Communications Cable Splicing","Army","Enlisted","25L","MOS","Active","Cable Systems Installer-Maintainer",NULL
"LABOR","2500","2504","Wire Communications Cable Splicing","Army","Enlisted","25U","MOS","Active","Signal Support Systems Specialist",NULL
"LABOR","2500","2504","Wire Communications Cable Splicing","Coast Guard","Enlisted","IT","PAY CODE","Active","Information Systems Technician",NULL
"LABOR","2500","2504","Wire Communications Cable Splicing","Marine Corps","Enlisted","0612","MOS","Active","Tactical Switching Operator",NULL
"LABOR","2500","2504","Wire Communications Cable Splicing","Marine Corps","Enlisted","0613","MOS","Active","Construction Wireman",NULL
"LABOR","2600","2602","Electronic Measurement Equipment Mechanic","Air Force","Enlisted","3C1X1","AFSC","Active","Radio Communications Systems",NULL
"LABOR","2600","2602","Electronic Measurement Equipment Mechanic","Air Force","Enlisted","3D1X5","AFSC","Active","Ground Radar Systems",NULL
"LABOR","2600","2602","Electronic Measurement Equipment Mechanic","Army","Warrant Officer","352P","MOS","Active","Voice Intercept Technician",NULL
"LABOR","2600","2602","Electronic Measurement Equipment Mechanic","Army","Warrant Officer","948B","MOS","Active","Electronic Systems Maintenance Warrant Officer",NULL
"LABOR","2600","2602","Electronic Measurement Equipment Mechanic","Army","Enlisted","94W","MOS","Active","Electronic Maintenance Chief",NULL
"LABOR","2600","2602","Electronic Measurement Equipment Mechanic","Army","Enlisted","94Y","MOS","Active","Integrated Family of Test Equipment (IFTE) Operator and Maintainer",NULL
"LABOR","2600","2602","Electronic Measurement Equipment Mechanic","Coast Guard","Warrant Officer","013","PAY CODE","Active","Electronics",NULL
"LABOR","2600","2602","Electronic Measurement Equipment Mechanic","Coast Guard","Enlisted","ET","PAY CODE","Active","Electronics Technician",NULL
"LABOR","2600","2602","Electronic Measurement Equipment Mechanic","Marine Corps","Enlisted","1361","MOS","Active","Engineer Assistant",NULL
"LABOR","2600","2602","Electronic Measurement Equipment Mechanic","Marine Corps","Enlisted","2862","MOS","Active","Electronics Maintenance Technician",NULL
"LABOR","2600","2602","Electronic Measurement Equipment Mechanic","Marine Corps","Enlisted","2871","MOS","Active","Calibration Technician",NULL
"LABOR","2600","2602","Electronic Measurement Equipment Mechanic","Marine Corps","Enlisted","2887","MOS","Active","Artillery Electronics Technician",NULL
"LABOR","2600","2602","Electronic Measurement Equipment Mechanic","Marine Corps","Enlisted","2891","MOS","Active","Electronics Maintenance Chief",NULL
"LABOR","2600","2602","Electronic Measurement Equipment Mechanic","Marine Corps","Enlisted","5979","MOS","Active","Tactical Air Operations/Air Defense Systems Technician",NULL
"LABOR","2600","2602","Electronic Measurement Equipment Mechanic","Marine Corps","Enlisted","6386","MOS","Active","Aircraft Electronic Countermeasures Systems Technician, EA-6B",NULL
"LABOR","2600","2602","Electronic Measurement Equipment Mechanic","Marine Corps","Enlisted","6493","MOS","Active","Aviation Meteorological Equipment Technician OMA/IMA",NULL
"LABOR","2600","2602","Electronic Measurement Equipment Mechanic","Marine Corps","Enlisted","8641","MOS","Active","Microminiature Repairer",NULL
"LABOR","2600","2602","Electronic Measurement Equipment Mechanic","Navy","Enlisted","ET","RATING","Active","Electronics Technician",NULL
"LABOR","2600","2602","Electronic Measurement Equipment Mechanic","Navy","Enlisted","GS","RATING","Active","Gas Turbine System Technician",NULL
"LABOR","2600","2602","Electronic Measurement Equipment Mechanic","Navy","Enlisted","GSE","RATING","Active","Gas Turbine System Technician (Electrical)",NULL
"LABOR","2600","2604","Electronics Mechanic","Air Force","Enlisted","1A1X1","AFSC","Active","Flight Engineer",NULL
"LABOR","2600","2604","Electronics Mechanic","Air Force","Enlisted","1A3X1","AFSC","Active","Airborne Mission Systems",NULL
"LABOR","2600","2604","Electronics Mechanic","Air Force","Enlisted","1A4X1","AFSC","Active","Airborne Operations",NULL
"LABOR","2600","2604","Electronics Mechanic","Air Force","Enlisted","1P0X1","AFSC","Active","Aircrew Flight Equipment",NULL
"LABOR","2600","2604","Electronics Mechanic","Air Force","Officer","21AXX","AFSC","Active","Aircraft Maintenance",NULL
"LABOR","2600","2604","Electronics Mechanic","Air Force","Enlisted","2A0X0","AFSC","Active","Avionics",NULL
"LABOR","2600","2604","Electronics Mechanic","Air Force","Enlisted","2A0X1","AFSC","Active","Avionics Test Station And Components, Avionics Systems",NULL
"LABOR","2600","2604","Electronics Mechanic","Air Force","Enlisted","2A3X0","AFSC","Active","Tactical Aircraft",NULL
"LABOR","2600","2604","Electronics Mechanic","Air Force","Enlisted","2A3X1","AFSC","Active","A-10, F-15, and U-2 Avionics Systems",NULL
"LABOR","2600","2604","Electronics Mechanic","Air Force","Enlisted","2A3X2","AFSC","Active","Integrated Avionics Systems (Attack/Special)",NULL
"LABOR","2600","2604","Electronics Mechanic","Air Force","Enlisted","2A3X3","AFSC","Active","Tactical Aircraft Maintenance",NULL
"LABOR","2600","2604","Electronics Mechanic","Air Force","Enlisted","2A5X0","AFSC","Active","Aerospace Maintenance",NULL
"LABOR","2600","2604","Electronics Mechanic","Air Force","Enlisted","2A5X1","AFSC","Active","Aerospace Maintenance",NULL
"LABOR","2600","2604","Electronics Mechanic","Air Force","Enlisted","2A5X2","AFSC","Active","Helicopter/Tiltrotor Maintenance",NULL
"LABOR","2600","2604","Electronics Mechanic","Air Force","Enlisted","2A5X3","AFSC","Active","Integrated Avionics Systems (Heavy)",NULL
"LABOR","2600","2604","Electronics Mechanic","Air Force","Enlisted","2A6X0","AFSC","Active","Aircraft Systems",NULL
"LABOR","2600","2604","Electronics Mechanic","Air Force","Enlisted","2A6X2","AFSC","Active","Aerospace Ground Equipment",NULL
"LABOR","2600","2604","Electronics Mechanic","Air Force","Enlisted","2A6X3","AFSC","Active","Aircrew Egress Systems",NULL
"LABOR","2600","2604","Electronics Mechanic","Air Force","Enlisted","2A6X6","AFSC","Active","Aircraft Electrical And Environmental Systems",NULL
"LABOR","2600","2604","Electronics Mechanic","Air Force","Enlisted","2M0X0","AFSC","Active","Missile And Space Systems Maintenance",NULL
"LABOR","2600","2604","Electronics Mechanic","Air Force","Enlisted","2M0X1","AFSC","Active","Missile And Space Systems Electronic Maintenance",NULL
"LABOR","2600","2604","Electronics Mechanic","Air Force","Enlisted","2M0X2","AFSC","Active","Missile And Space Systems Maintenance",NULL
"LABOR","2600","2604","Electronics Mechanic","Air Force","Enlisted","2M0X3","AFSC","Active","Missile And Space Facilities",NULL
"LABOR","2600","2604","Electronics Mechanic","Air Force","Enlisted","2P0X1","AFSC","Active","Precision Measurement Equipment Laboratory",NULL
"LABOR","2600","2604","Electronics Mechanic","Air Force","Enlisted","2R0X0","AFSC","Active","Maintenance Management,",NULL
"LABOR","2600","2604","Electronics Mechanic","Air Force","Enlisted","2R0X1","AFSC","Active","Maintenance Management Analysis",NULL
"LABOR","2600","2604","Electronics Mechanic","Air Force","Enlisted","2R1X1","AFSC","Active","Maintenance Management Production,",NULL
"LABOR","2600","2604","Electronics Mechanic","Air Force","Enlisted","2W1X1","AFSC","Active","Aircraft Armament Systems",NULL
"LABOR","2600","2604","Electronics Mechanic","Air Force","Enlisted","3C1X1","AFSC","Active","Radio Communications Systems",NULL
"LABOR","2600","2604","Electronics Mechanic","Air Force","Enlisted","3C1X2","AFSC","Active","Electromagnetic Spectrum Management",NULL
"LABOR","2600","2604","Electronics Mechanic","Air Force","Enlisted","3D1X3","AFSC","Active","RF Transmission Systems",NULL
"LABOR","2600","2604","Electronics Mechanic","Air Force","Enlisted","3D1X4","AFSC","Active","Spectrum Operations",NULL
"LABOR","2600","2604","Electronics Mechanic","Air Force","Enlisted","3D1X5","AFSC","Active","Ground Radar Systems",NULL
"LABOR","2600","2604","Electronics Mechanic","Air Force","Enlisted","3D1X6","AFSC","Active","Airfield Systems",NULL
"LABOR","2600","2604","Electronics Mechanic","Air Force","Enlisted","3D1X7","AFSC","Active","Cable and Antenna Systems",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Enlisted","13R","MOS","Active","Field Artillery (FA) Firefinder Radar Operator",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Warrant Officer","140E","MOS","Active","Air and Missile Defense (AMD) Systems Tactician/Technician",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Enlisted","14T","MOS","Active","PATRIOT Launching Station Enhanced Operator/Maintainer",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Warrant Officer","151A","MOS","Active","Aviation Maintenance Technician (Nonrated)",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Enlisted","15J","MOS","Active","OH-58D/ARH Armament/Electrical/Avionics Systems Repairer",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Enlisted","15K","MOS","Active","Aircraft Components Repair Supervisor",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Enlisted","15X","MOS","Active","AH-64A Armament/Electrical/Avionics Systems Repairer",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Enlisted","15Y","MOS","Active","AH-64D Armament/Electrical/Avionics Systems Repairer",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Enlisted","15Z","MOS","Active","Aircraft Maintenance Senior Sergeant",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Enlisted","25C","MOS","Active","Radio Operator-Maintainer",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Enlisted","25F","MOS","Active","Network Switching Systems Operator-Maintainer",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Enlisted","25L","MOS","Active","Cable Systems Installer-Maintainer",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Enlisted","25N","MOS","Active","Nodal Network Systems Operator-Maintainer",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Enlisted","25Q","MOS","Active","Multichannel Transmission Systems Operator-Maintainer",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Enlisted","25S","MOS","Active","Satellite Communications Systems Operator-Maintainer",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Enlisted","25T","MOS","Active","Satellite/Microwave Systems Chief",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Enlisted","25U","MOS","Active","Signal Support Systems Specialist",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Enlisted","25W","MOS","Active","Telecommunications Operations Chief",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Enlisted","25X","MOS","Active","Senior Signal Sergeant",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Warrant Officer","290A","MOS","Active","Electronic Warfare Technician",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Officer","29A","AOC","Active","Electronic Warfare Officer",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Enlisted","29E","MOS","Active","Electronic Warfare Specialist",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Warrant Officer","352S","MOS","Active","Signals Collection Technician",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Warrant Officer","353T","MOS","Active","Intelligence Electronic Warfare (IEW) Systems Maintenance Technician",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Enlisted","35S","MOS","Active","Signals Collector/Analyst",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Enlisted","35T","MOS","Active","Military Intelligence (MI) Systems Maintainer/Integrator",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Enlisted","88P","MOS","Active","Railway Equipment Repairer (RC)",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Warrant Officer","913A","MOS","Active","Armament Systems Maintenance Warrant Officer",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Warrant Officer","915A","MOS","Active","Automotive Maintenance Warrant Officer",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Warrant Officer","915E","MOS","Active","Senior Automotive Maintenance Warrant Officer/Senior Ordnance Logistics Warrant Officer",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Warrant Officer","919A","MOS","Active","Engineer Equipment Maintenance Warrant Officer",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Enlisted","91A","MOS","Active","M1 Abrams Tank System Maintainer",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Enlisted","91M","MOS","Active","BRADLEY Fighting Vehicle System Maintainer",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Enlisted","91P","MOS","Active","Artillery Mechanic",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Enlisted","91X","MOS","Active","Maintenance Supervisor",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Enlisted","91Z","MOS","Active","Senior Maintenance Supervisor",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Warrant Officer","948B","MOS","Active","Electronic Systems Maintenance Warrant Officer",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Warrant Officer","948D","MOS","Active","Electronic Missile Systems Maintenance Warrant Officer",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Warrant Officer","948E","MOS","Active","Senior Electronics Maintenance Warrant Officer",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Enlisted","94A","MOS","Active","Land Combat Electronic Missile System Repairer",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Enlisted","94D","MOS","Active","Air Traffic Control Equipment Repairer",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Enlisted","94E","MOS","Active","Radio and Communications Security (COMSEC) Repairer",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Enlisted","94F","MOS","Active","Computer/Detection Systems Repairer",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Enlisted","94H","MOS","Active","Test, Measurement, and Diagnostic Equipment (TMDE) Maintenance Support Specialist",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Enlisted","94K","MOS","Active","APACHE Attack Helicopter Systems Repairer",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Enlisted","94L","MOS","Active","Avionic Communications Equipment Repairer",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Enlisted","94M","MOS","Active","Radar Repairer",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Enlisted","94P","MOS","Active","Multiple Launch Rocket System (MLRS) Repairer",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Enlisted","94R","MOS","Active","Avionic and Survivability Equipment Repairer",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Enlisted","94S","MOS","Active","PATRIOT System Repairer",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Enlisted","94T","MOS","Active","AVENGER System Repairer",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Enlisted","94W","MOS","Active","Electronic Maintenance Chief",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Enlisted","94X","MOS","Active","Senior Missile Systems Maintainer",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Enlisted","94Y","MOS","Active","Integrated Family of Test Equipment (IFTE) Operator and Maintainer",NULL
"LABOR","2600","2604","Electronics Mechanic","Army","Enlisted","94Z","MOS","Active","Senior Electronic Maintenance Chief",NULL
"LABOR","2600","2604","Electronics Mechanic","Coast Guard","Warrant Officer","013","PAY CODE","Active","Electronics",NULL
"LABOR","2600","2604","Electronics Mechanic","Coast Guard","Warrant Officer","017","PAY CODE","Active","Material Maintenance",NULL
"LABOR","2600","2604","Electronics Mechanic","Coast Guard","Officer","62","PAY CODE","Active","Aircraft Maintenance, Overhaul, Repair and Supply",NULL
"LABOR","2600","2604","Electronics Mechanic","Coast Guard","Officer","64","PAY CODE","Active","Aviation Electronics",NULL
"LABOR","2600","2604","Electronics Mechanic","Coast Guard","Enlisted","AET","PAY CODE","Active","Avionics Electrical Technician",NULL
"LABOR","2600","2604","Electronics Mechanic","Coast Guard","Enlisted","EM","PAY CODE","Active","Electrician's Mate",NULL
"LABOR","2600","2604","Electronics Mechanic","Coast Guard","Enlisted","ET","PAY CODE","Active","Electronics Technician",NULL
"LABOR","2600","2604","Electronics Mechanic","Marine Corps","Officer","0206","MOS","Active","Signal Intelligence/Ground Electronic Warfare Officer",NULL
"LABOR","2600","2604","Electronics Mechanic","Marine Corps","Warrant Officer","0610","MOS","Active","Telecommunication Systems Engineering Officer",NULL
"LABOR","2600","2604","Electronics Mechanic","Marine Corps","Enlisted","0619","MOS","Active","Telecommunications Systems Chiefs",NULL
"LABOR","2600","2604","Electronics Mechanic","Marine Corps","Warrant Officer","0620","MOS","Active","Tactical Communications Planning and Engineer Officer",NULL
"LABOR","2600","2604","Electronics Mechanic","Marine Corps","Enlisted","0699","MOS","Active","Communications Chief",NULL
"LABOR","2600","2604","Electronics Mechanic","Marine Corps","Enlisted","0844","MOS","Active","Field Artillery Fire Control Man",NULL
"LABOR","2600","2604","Electronics Mechanic","Marine Corps","Warrant Officer","1120","MOS","Active","Utilities Officer",NULL
"LABOR","2600","2604","Electronics Mechanic","Marine Corps","Enlisted","1361","MOS","Active","Engineer Assistant",NULL
"LABOR","2600","2604","Electronics Mechanic","Marine Corps","Warrant Officer","2125","MOS","Active","Electro-Optic Instrument Repair Officer",NULL
"LABOR","2600","2604","Electronics Mechanic","Marine Corps","Warrant Officer","2602","MOS","Active","Signals Intelligence/Electronics Warfare Officer",NULL
"LABOR","2600","2604","Electronics Mechanic","Marine Corps","Warrant Officer","2805","MOS","Active","Data/Communications Maintenance Officer",NULL
"LABOR","2600","2604","Electronics Mechanic","Marine Corps","Enlisted","2847","MOS","Active","Telephone Systems/Personal Computer Repairer",NULL
"LABOR","2600","2604","Electronics Mechanic","Marine Corps","Enlisted","2862","MOS","Active","Electronics Maintenance Technician",NULL
"LABOR","2600","2604","Electronics Mechanic","Marine Corps","Enlisted","2887","MOS","Active","Artillery Electronics Technician",NULL
"LABOR","2600","2604","Electronics Mechanic","Marine Corps","Enlisted","2891","MOS","Active","Electronics Maintenance Chief",NULL
"LABOR","2600","2604","Electronics Mechanic","Marine Corps","Officer","5902","MOS","Active","Electronics Maintenance Officer Aviation Command and Control (C2)",NULL
"LABOR","2600","2604","Electronics Mechanic","Marine Corps","Warrant Officer","5910","MOS","Active","Aviation Radar Maintenance Officer",NULL
"LABOR","2600","2604","Electronics Mechanic","Marine Corps","Enlisted","5993","MOS","Active","Electronics Maintenance Chief (Aviation (C2))",NULL
"LABOR","2600","2604","Electronics Mechanic","Marine Corps","Officer","6002","MOS","Active","Aircraft Maintenance Officer",NULL
"LABOR","2600","2604","Electronics Mechanic","Marine Corps","Officer","6004","MOS","Active","Aircraft Maintenance Engineer Officer",NULL
"LABOR","2600","2604","Electronics Mechanic","Marine Corps","Warrant Officer","6004","MOS","Active","Aircraft Maintenance Engineer Officer",NULL
"LABOR","2600","2604","Electronics Mechanic","Marine Corps","Enlisted","6019","MOS","Active","Aircraft Maintenance Chief",NULL
"LABOR","2600","2604","Electronics Mechanic","Marine Corps","Enlisted","6023","MOS","Active","Aircraft Power Plants Test Cell Operator",NULL
"LABOR","2600","2604","Electronics Mechanic","Marine Corps","Officer","6302","MOS","Active","Avionics Officer",NULL
"LABOR","2600","2604","Electronics Mechanic","Marine Corps","Warrant Officer","6302","MOS","Active","Avionics Officer",NULL
"LABOR","2600","2604","Electronics Mechanic","Marine Corps","Enlisted","6312","MOS","Active","Aircraft Communications/Navigation/Radar Systems Technician, AV-8",NULL
"LABOR","2600","2604","Electronics Mechanic","Marine Corps","Enlisted","6313","MOS","Active","Aircraft Communications/Navigation/Radar System Technician, EA-6",NULL
"LABOR","2600","2604","Electronics Mechanic","Marine Corps","Enlisted","6316","MOS","Active","Aircraft Communications/Navigation Systems Technician, KC-130",NULL
"LABOR","2600","2604","Electronics Mechanic","Marine Corps","Enlisted","6317","MOS","Active","Aircraft Communications/Navigation/Radar Systems Technician, F/A-18",NULL
"LABOR","2600","2604","Electronics Mechanic","Marine Corps","Enlisted","6322","MOS","Active","Aircraft Avionics Technician, CH-46",NULL
"LABOR","2600","2604","Electronics Mechanic","Marine Corps","Enlisted","6323","MOS","Active","Aircraft Avionics Technician, CH-53",NULL
"LABOR","2600","2604","Electronics Mechanic","Marine Corps","Enlisted","6324","MOS","Active","Aircraft Avionics Technician, U/AH-1",NULL
"LABOR","2600","2604","Electronics Mechanic","Marine Corps","Enlisted","6326","MOS","Active","Aircraft Avionics Technician, V-22",NULL
"LABOR","2600","2604","Electronics Mechanic","Marine Corps","Enlisted","6332","MOS","Active","Aircraft Electrical Systems Technician, AV-8",NULL
"LABOR","2600","2604","Electronics Mechanic","Marine Corps","Enlisted","6333","MOS","Active","Aircraft Electrical Systems Technician, EA-6",NULL
"LABOR","2600","2604","Electronics Mechanic","Marine Corps","Enlisted","6337","MOS","Active","Aircraft Electrical Systems Technician, F/A-18",NULL
"LABOR","2600","2604","Electronics Mechanic","Marine Corps","Enlisted","6338","MOS","Active","Aircraft Avionics Technician, F-35B",NULL
"LABOR","2600","2604","Electronics Mechanic","Marine Corps","Enlisted","6391","MOS","Active","Avionics Maintenance Chief",NULL
"LABOR","2600","2604","Electronics Mechanic","Marine Corps","Enlisted","6432","MOS","Active","Aircraft Electrical/Instrument/Flight Control Systems Technician, Fixed Wing, IMA",NULL
"LABOR","2600","2604","Electronics Mechanic","Marine Corps","Enlisted","6463","MOS","Active","Consolidated Automatic Support System (CASS) High Power (HP) Technician, IMA",NULL
"LABOR","2600","2604","Electronics Mechanic","Marine Corps","Enlisted","6467","MOS","Active","Consolidated Automatic Support System (CASS) Technician, IMA",NULL
"LABOR","2600","2604","Electronics Mechanic","Marine Corps","Enlisted","6469","MOS","Active","Advanced Consolidated Automatic Support System (CASS) Technician IMA",NULL
"LABOR","2600","2604","Electronics Mechanic","Marine Corps","Enlisted","6484","MOS","Active","Consolidated Automatic Support System (CASS) Electronic Warfare (EW) Technician, IMA",NULL
"LABOR","2600","2604","Electronics Mechanic","Marine Corps","Enlisted","6492","MOS","Active","Aviation Precision Measurement Equipment (PME) Calibration/Repair Technician, IMA",NULL
"LABOR","2600","2604","Electronics Mechanic","Marine Corps","Officer","7582","MOS","Active","Naval Flight Officer (NFO), FRS Basic EA-6B Electronic Warfare Officer",NULL
"LABOR","2600","2604","Electronics Mechanic","Marine Corps","Officer","7588","MOS","Active","Naval Flight Officer (NFO), Qualified EA-6B Electronic Warfare Officer",NULL
"LABOR","2600","2604","Electronics Mechanic","Navy","Warrant Officer","728","DESIGNATOR","Active","CWO - Electronics, Submarine",NULL
"LABOR","2600","2604","Electronics Mechanic","Navy","Enlisted","AE","RATING","Active","Aviation Electrician's Mate",NULL
"LABOR","2600","2604","Electronics Mechanic","Navy","Enlisted","AT","RATING","Active","Aviation Electronics Technician",NULL
"LABOR","2600","2604","Electronics Mechanic","Navy","Enlisted","ATI","RATING","Active","Aviation Electronics Technician (Intermediate Maintenance)",NULL
"LABOR","2600","2604","Electronics Mechanic","Navy","Enlisted","ATO","RATING","Active","Aviation Electronics Technician (Organizational Maintenance)",NULL
"LABOR","2600","2604","Electronics Mechanic","Navy","Enlisted","AV","RATING","Active","Master Chief Avionics Maintenance Technician",NULL
"LABOR","2600","2604","Electronics Mechanic","Navy","Enlisted","CTM","RATING","Active","Cryptologic Technician Maintenance",NULL
