"type","group_code","code","name","url","status","description","footnote"
"LABOR","2800","2810","High Voltage Electrician","http://www.opm.gov/fedclass/fws2810.pdf",NULL,"This standard covers nonsupervisory work involved in installing, testing, repairing, and maintaining high voltage electric power-controlling equipment and/or distribution lines.  The work requires knowledge of electrical principles, procedures, materials, and safety standards governing electrical systems above 600 volts.  In addition, the work requires general mechanical skills and knowledge, and in some cases may require knowledge of electronic principles as they pertain to electronic control circuitry.  In some situations, the work includes testing, repairing, and maintaining electric-generating equipment in co-generation facilities.",1
"LABOR","2800","2854","Electrical Equipment Repairing","http://www.opm.gov/fedclass/fws2854.pdf",NULL,"This standard is for grading nonsupervisory jobs involved in troubleshooting, testing, installing, repairing, overhauling, modifying, and maintaining electrical devices, equipment, and components such as automatic alternator synchronizing equipment, amplidyne control units, voltage regulating equipment, generators, actuators, switching and control panels, junction boxes, AC and DC motors, electrical harnesses, transformers, and power amplifiers.  Typically, the equipment and components serviced have been removed from aircraft, ships, ground support or industrial equipment, tracked or wheeled heavy duty vehicles, missiles, etc.  The work requires knowledge of electrical circuitry, formulas, and principles and their application to the devices, equipment, components, and systems repaired.  In addition, some work may require knowledge of electronic circuitry and theory and general mechanical skills and knowledge.",1
"LABOR","2800","2892","Aircraft Electrician","http://www.opm.gov/fedclass/fws2892.pdf",NULL,"This standard is used to grade nonsupervisory work involved in installing, troubleshooting, adjusting, testing, modifying, calibrating, and repairing aircraft electrical systems and equipment on board conventional and non-conventional aircraft such as electrical power control and distribution systems, lighting systems, refueling and fuel quantity indicating systems, electrical warning, controlling, and actuating circuits, and tying-in power and control circuits for functional systems, such as hydraulics, armament, radar, engines, and fire suppression.  The work is characterized by the need to understand the functional characteristics and relationships of various electrical systems and equipment on aircraft. ",1
"LABOR","2800","GROUP","ELECTRICAL INSTALLATION AND MAINTENANCE FAMILY","http://www.opm.gov/fedclass/html/fwseries.asp#2800",NULL,"This job family includes occupations involved in the fabrication, installation, alteration, maintenance, repair, and testing of electrical systems, instruments, apparatus, and equipment.",NULL
"LABOR","3100","3105","Fabric Working","http://www.opm.gov/fedclass/fws3105.pdf",NULL,"This standard covers nonsupervisory work involved in making, modifying, altering, and repairing clothing and/or equipment or other items such as awnings, tents, containments, gun covers, sleeping bags, parachutes, belts, carrying cases, flags, bed linens, protective clothing, work clothes, dress clothes, suits, coats, uniforms, and other articles made of fabric.  Fabrics include wool, cotton, linen, canvas, nylon, polyester, rayon, acetate, acrylic, olefin, saran, metallic fabrics, fabrics made of rubber yarns or plastic filaments, leather, felt, fiberglass, vinyl, asbestos, and other similar materials.  Fabric work involves taking measurements, making patterns and layouts, marking, cutting, fitting, and sewing or cementing parts together, using hand or power tools and equipment and knowledge of fabrics and construction methods. ",1
"LABOR","3100","3106","Upholstering","http://www.opm.gov/fedclass/fws3106.pdf",NULL,"This standard covers nonsupervisory work that involves repairing and replacing upholstery, including fabrics, springs, webbing, filling, and padding, on items such as furniture, seats, and structural framework in houses, rooms, offices, aircraft, ships, boats, railroad cars, automobiles, trucks, buses, and other vehicles or equipment.  Upholstering work involves taking measurements, making patterns and layouts, cutting fabrics, fitting and joining cover pieces, and installing and fastening upholstery materials in place, using hand or power tools and equipment and knowledge of fabrics and upholstery methods. ",1
"LABOR","3100","3111","Sewing Machine Operating","http://www.opm.gov/fedclass/fws3111.pdf",NULL,"This standard covers nonsupervisory work which involves operating power sewing machines to sew, alter, or repair wearing apparel, linens, blankets, and other fabric articles.  This includes operation of automatic sewing machines when the operator must know how to thread the machine, wind bobbins, adjust tension, and oil parts. ",1
"LABOR","3100","GROUP","FABRIC AND LEATHER WORK FAMILY","http://www.opm.gov/fedclass/html/fwseries.asp#3100",NULL,"This job family includes occupations involving the fabrication, modification, and repair of clothing and equipment made of:  (1) woven textile fabrics of animal, vegetable, or synthetic origin; (2) plastic film and filaments; (3) natural and simulated leather; (4) natural and synthetic fabrics; and (5) paper.  Work involves use of hand tools and mechanical devices and machines to lay out, cut, sew, rivet, mold, fit, assemble, and attach findings to articles such as uniforms, rainwear, hats, belts, shoes, briefcases, holsters, equipage articles, tents, gun covers, bags, parachutes, upholstery, mattresses, brushes, etc.",NULL
"LABOR","3300","3306","Optical Instrument Repairing","http://www.opm.gov/fedclass/fws3306.pdf",NULL,"This standard covers nonsupervisory work involved in troubleshooting, overhauling, modifying, maintaining, and testing optical instruments such as binoculars, telescopes, cameras, sextants, gun sights, periscopes, and cinetheodolites.  These jobs primarily require knowledge and application of optical principles, procedures, and materials and, in addition, knowledge of mechanical and electrical methods of mounting and controlling optical systems. ",1
"LABOR","3300","3314","Instrument Making","http://www.opm.gov/fedclass/fws3314.pdf",NULL,"This standard is used to grade all nonsupervisory jobs involved in planning and fabricating complex research and prototype instruments that are made from a variety of materials and are used to detect, measure, record, and regulate heat, pressure, speed, vibration, sound, illumination, biomedical phenomena, and other areas of interest to scientific, engineering, or medical personnel.",1
"LABOR","3300","3359","Instrument Mechanic","http://www.opm.gov/fedclass/fws3359.pdf",NULL,"This standard is for grading nonsupervisory jobs involved in installing, aligning, modifying, troubleshooting, repairing, overhauling, testing, and calibrating a variety of instruments containing electric, mechanical, pneumatic, hydraulic, and/or electronic components, assemblies, and controls.  The work includes using both manual and automated test equipment such as pneumatic, hydraulic, or vacuum test stands or computer controlled electronic test consoles to test, align, and calibrate instruments.  The work also includes maintaining, repairing, and calibrating precision instruments and standards such as dial indicators, concentricity gauges, sine bars, micrometers, and plug and ring gauges.  The work requires knowledge and application of electrical and mechanical principles; knowledge of pneumatic and/or hydraulic mechanisms; and, in some work situations, knowledge of electronic principles and theory. ",1
"LABOR","3300","GROUP","INSTRUMENT WORK FAMILY","http://www.opm.gov/fedclass/html/fwseries.asp#3300",NULL,"This job family includes occupations that involve fabricating, assembling, calibrating, testing, installing, repairing, modifying, and maintaining instruments and instrumentation systems for measuring, regulating, and computing physical quantities such as mass, moment, force, acceleration, displacement, stress, strain, vibration or oscillation frequency, phase and amplitude, linear or angular velocity, spacetime position and attitude, pressure, temperature, density, viscosity, humidity, thermal or electrical conductivity, voltage, current, power, power factor, impedance, and radiation.  Examples of such instruments and equipment are: gyro, optical, photographic, timekeeping, electrical, metered, pressure, and geared instruments; test equipment; and navigation, flight control, and fuel totalizing systems.  The work requires knowledge of electrical, electronic, mechanical, optical, pneumatic, and/or hydraulic principles.  Work that primarily involves fabricating and repairing electronic instruments should be coded to the electronic equipment installation and maintenance family, 2600.",NULL
"LABOR","3400","3414","Machining","http://www.opm.gov/fedclass/fws3414.pdf",NULL,"This standard covers nonsupervisory work involved in the manufacture of parts and items of equipment from castings, forgings, and other raw stocks made of various metals, metal alloys, and other materials, and/or machining operations required in the repair of such items.  The work requires the use of various types of conventional and/or computer numerical control (CNC) machine tools and their attachments to perform machining operations in the repair and/or manufacture of parts from raw stock.  The work performed by machine tool operators requires basic knowledge of machining processes and skill in performing machining operations such as boring, drilling, planing, milling, and turning on milling machines, radial, or multiple spindle drill presses, shapers, planers, lathes, or equivalent types of conventional and/or CNC machine tools.  The work performed by machinists requires skill in the initial planning of necessary work sequences, laying out reference points and lines to be followed in the machining processes, planning for and setting up the work in the machine, sometimes programming the cutter path, selecting and shaping metal cutting tools and inserts, operating all types of machine tools , and performing precision handwork to fit, finish, and assemble machined parts and equipment.  The work also requires knowledge of the makeup of blueprints and drawings and the skill necessary to interpret them; and skill in working from other types of specifications such as sketches, models of parts to be manufactured, or work orders. ",1
"LABOR","3400","3416","Toolmaking","http://www.opm.gov/fedclass/fws3416.pdf",NULL,"This standard covers nonsupervisory work involved in the fabrication, manufacture, calibration, reconditioning, and repair of machine tools, jigs, fixtures, dies, punches, and gages used in the manufacture, overhaul, and repair of equipment.",1
"LABOR","3400","3428","Die Sinking","http://www.opm.gov/fedclass/fws3428.pdf",NULL,"This standard is used to grade nonsupervisory jobs involved in machining and grinding matched impressions in steel blocks to repair and make metal dies which are used in forging shops. ",1
"LABOR","3400","GROUP","MACHINE TOOL WORK FAMILY","http://www.opm.gov/fedclass/html/fwseries.asp#3400",NULL,"This job family includes occupations that involve setting up and operating machine tools and using hand tools to make or repair (shape, fit, finish, assemble) metal parts, tools, gauges, models, patterns, mechanisms, and machines; and machining explosives and synthetic materials.",NULL
"LABOR","3500","3502","Laboring","http://www.opm.gov/fedclass/fws3502.pdf",NULL,"This standard covers nonsupervisory work that primarily requires physical effort and ability to perform laboring duties that involve little or no specialized skill or prior work experience.  The work typically involves duties such as loading and unloading trucks; moving office furniture, equipment, and supplies by hand or with various moving devices (e.g., dollies and/or hand trucks); mowing lawns and trimming shrubs; washing vehicles; and clearing and digging ditches. These duties are commonly found in a variety of work situations such as roads and grounds maintenance, industrial operations, warehouses, office buildings, printing facilities, supply centers, and production areas. ",1
"LABOR","3500","3511","Laboratory Working","http://www.opm.gov/fedclass/fws3511.pdf",NULL,"This standard covers nonsupervisory work requiring ability to clean, prepare for sterilization, sterilize, and assemble laboratory and hospital glassware, instruments, and related items.  This work includes such tasks as sorting and loading items into washing machine baskets; operating washing machines, sterilizers, water stills, and centrifuges; preparing flasks, beakers, vials, test tubes, and dishes by capping, corking, plugging, and wrapping; of glassware, instruments, tubing, adapters, connectors, etc., into a composite unit. ",1
"LABOR","3500","3513","Coin/Currency Checking",NULL,NULL,"This occupation includes jobs involved in visually examining:  (1) finished coins and medals for finish, appearance, discoloration, missing letters, etc.; or (2) U.S. currency, stamps, bonds, and other paper securities and documents to detect imperfections.",NULL
"LABOR","3500","3515","Laboratory Support Working",NULL,NULL,"This occupation includes jobs involved in performing manual work in laboratories, clinics, etc., in support of educational, research, or similar activities.  Work includes such tasks as preparing samples by measuring, grinding, drying, sieving, chopping, and mixing materials and solutions; transporting, setting up, dismantling, and arranging models, exhibits, equipment, and supplies; checking equipment for proper operation; and operating and making minor repairs to auxiliary equipment such as water stills, electric power distribution panels, pH meters, and spectrophotometers.  It does not include jobs that primarily require technical knowledge of the biological or agricultural sciences, physical sciences, medicine, or other scientific activities.",NULL
"LABOR","3500","3546","Railroad Repairing","http://www.opm.gov/fedclass/fws3546.pdf",NULL,"This standard covers the nonsupervisory work involved in installing, removing, aligning, maintaining, and repairing rails, ties, ballast, switches, frogs, joints and other parts of railroad tracks and roadbeds using hand operated power tools and other manually operated equipment. The work requires a knowledge of the layout and maintenance requirements of tracks, roadbeds, and their parts, and ability to find and repair defects in them using specialized railroad maintenance equipment. ",1
"LABOR","3500","3566","Custodial Working","http://www.opm.gov/fedclass/fws3566.pdf",NULL,"This standard is to be used for grading jobs made up of janitorial and custodial work, such as sweeping, scrubbing, and waxing floors; washing windows and walls; dusting and polishing furniture and fixtures; and emptying waste cans.  Work is done by hand or with powered equipment.  This standard should not be used to grade jobs requiring the operation of a street sweeper or similar equipment. ",1
"LABOR","3500","GROUP","GENERAL SERVICES AND SUPPORT WORK FAMILY","http://www.opm.gov/fedclass/html/fwseries.asp#3500",NULL,"This job family includes occupations not specifically covered by another work family that require little or no specialized training or work experience to enter.  These occupations usually involve work such as moving and handling materials (e.g., loading, unloading, digging, hauling, hoisting, carrying, wrapping, mixing, pouring, spreading); washing and cleaning laboratory apparatus, cars, and trucks, etc; cleaning and maintaining living quarters, hospital rooms and ward, office buildings, grounds, and other areas; and doing other general maintenance work by hand or using common handtools and power equipment.  They may involve heavy or light physical work and various skill levels.  Skills are generally learned through job experience and instruction from supervisors or, in some instances, formal training programs lasting a few days or weeks or longer.",NULL
"LABOR","3600","3602","Cement Finishing","http://www.opm.gov/fedclass/fws3602.pdf",NULL,"This standard is used to grade all nonsupervisory jobs involved in construction and repair of cement and concrete surfaces and structures. ",1
"LABOR","3600","3603","Masonry","http://www.opm.gov/fedclass/fws3603.pdf",NULL,"This standard is used to grade all nonsupervisory jobs involved in maintenance, repair, alteration, and construction of masonry structures of brick, block, stone, firebrick, and similar materials. ",1
"LABOR","3600","3604","Tile Setting",NULL,NULL,"This occupation includes jobs involved in the application of structural and/or glazed tile walls, floors, and ceilings according to specified designs.",NULL
"LABOR","3600","3605","Plastering","http://www.opm.gov/fedclass/fws3605.pdf",NULL,"This standard is used to grade all nonsupervisory jobs involved in the application and finishing of plaster surfaces in the construction and repair of interior walls and ceilings and stucco exterior walls. ",1
"LABOR","3600","3606","Roofing","http://www.opm.gov/fedclass/fws3606.pdf",NULL,"This standard is used to grade all nonsupervisory jobs involved in maintenance, installation, repair, and weatherproofing of roofs. ",1
"LABOR","3600","3610","Insulating","http://www.opm.gov/fedclass/fws3610.pdf",NULL,"This standard is used to grade nonsupervisory jobs that involve fabrication and installation of insulating materials on tanks, boilers, turbines, pumps, pipes, valves, ducts, and other structures to reduce heat loss or absorption, prevent moisture condensation, or reduce sound levels.  This work requires a knowledge of insulating materials and their insulating properties and the ability to lay out, form, and install a variety of insulating materials on regular and irregular shaped objects. ",1
"LABOR","3600","GROUP","STRUCTURAL AND FINISHING WORK FAMILY","http://www.opm.gov/fedclass/html/fwseries.asp#3600",NULL,"This job family includes occupations not specifically covered by another work family that involve doing structural and finishing work in construction, maintenance, and repair of surfaces and structures (e.g., laying brick, block, and stone; setting tile; finishing cement and concrete; plastering; installing, maintaining, and repairing asphalt, tar, and gravel; roofing; insulating and glazing).",NULL
"LABOR","3700","3703","Welding","http://www.opm.gov/fedclass/fws3703.pdf",NULL,"This standard covers the nonsupervisory work of welding metals and alloys.  The work requires knowledge of electric, gas, and other welding processes such as electron beam welding, and the skill to apply these processes in manufacturing, repairing, modifying, rebuilding, and assembling various types of metal and alloy parts, equipment, systems, and structures such as buildings, aircraft, and ships. ",1
"LABOR","3700","3705","Nondestructive Testing",NULL,NULL,"This occupation includes jobs involved in the nondestructive examination of metals, composites, ceramics, plastics, and other materials for internal and external structural defects, delaminations, corrosion, and moisture penetration using magnetic particle, liquid penetrant, eddy current, radiographic, ultrasonic, or other types of nondestructive test processes and equipment.  The work includes equipment setup, operation, adjustment, and evaluation or interpretation of test readings or results within established parameters for acceptance or rejection.  This occupation does not include jobs that primarily require:  (1) journey level knowledge and skill of the work processes involved in producing or repairing the items or materials tested; or (2) technical knowledge of engineering, physical, or other sciences in the direct support of laboratory or research operations.",NULL
"LABOR","3700","3707","Metalizing",NULL,NULL,"This occupation includes jobs involved in dipping or spraying molten metal coatings, such as tin, zinc, or copper, or metal objects by hand or by use of equipment such as metal spraying machines or galvanizing equipment.",NULL
"LABOR","3700","3711","Electroplating","http://www.opm.gov/fedclass/fws3711.pdf",NULL,"This standard covers nonsupervisory work involving the use of electrolytic and chemical processes to plate, coat, and treat surfaces of metals and metal alloys for purposes of protection, repair, maintenance, and fabrication of parts and equipment.  The work requires a knowledge of the preparation, testing, and maintenance of various electrolytic and chemical solutions; and skill in controlling and using them in performing the processes required to prepare, plate, coat, or otherwise treat various types of surfaces. ",1
"LABOR","3700","3712","Heat Treating",NULL,NULL,"This occupation includes jobs involved in heat treating metals in a furnace or preheated chemical bath to alter the physical and chemical properties of the metal to produce a specific degree of hardness, toughness, or strength by an established process of controlled heating and cooling; and/or operating an annealing furnace and a series of vats to anneal, treat, wash, and rinse metal components.",NULL
"LABOR","3700","3725","Battery Repairing",NULL,NULL,"This occupation includes jobs involved in disassembling, repairing, reassembling, and charging batteries used in aircraft, electric trucks, motor vehicles, and other types of equipment, including breaking down batteries (removing compound, connector, and cell groups), washing down and diagnosing extent of repairs needed, and repairing and/or rebuilding batteries according to diagnosis requirements (assembling new cell groups, replacing compounds and lead burning connections, and replacing or rebuilding terminal posts).",NULL
"LABOR","3700","3727","Buffing and Polishing",NULL,NULL,"This occupation includes jobs involved in finishing metal surfaces by buffing, polishing, deburring, burnishing, filing, grinding, and barrel tumbling, using hand tool or powered equipment such as grinders, files, chisels, polishing wheels, and wire brushes.",NULL
"LABOR","3700","3769","Shot Peening Machine Operating",NULL,NULL,"This occupation includes jobs involved in setting up and operating an air blast shot peening machine to harden or strengthen metal surfaces (e.g., the bending and twisting surfaces of landing gear struts, propeller caps, master rods, fulcrums, propeller shafts, and crankshafts).  The work includes examining parts received to determine areas to be shot peened and to reject those with imperfections; setting up machine; making test runs on identical parts using Almen metal testing strips, and making necessary adjustments after test runs to obtain adequate peening prior to peening parts on a production basis; and checking and maintaining shot peening machine in operating condition.",NULL
"LABOR","3700","GROUP","METAL PROCESSING FAMILY","http://www.opm.gov/fedclass/html/fwseries.asp#3700",NULL,"This job family includes occupations that involve processing or treating metals to alter their properties or produce desirable qualities such as hardness or workability, using processes such as welding, plating, melting, alloying, casting, annealing, heat treating, and refining.",NULL
"LABOR","3800","3802","Metal Forging","http://www.opm.gov/fedclass/fws3802.pdf",NULL,"This standard covers nonsupervisory work involving the fabrication and repair of various types of ferrous, ferrous-alloy, and nonferrous metal tools, parts, equipment, and structural plates by forging and other methods such as hardening, tempering, stress relieving, and annealing.  Forging methods include forging, drop forging, upset forging, and the shaping of metal parts utilizing heat and the force of power or hand hammers to produce required dimensions and contours. ",1
"LABOR","3800","3806","Sheet Metal Mechanic","http://www.opm.gov/fedclass/fws3806.pdf",NULL,"This job grading standard covers nonsupervisory jobs involved in the repair, fabrication, modification, and installation of sheet metal parts, items, and assemblies. ",1
"LABOR","3800","3808","Boilermaking","http://www.opm.gov/fedclass/fws3808.pdf",NULL,"This standard is to be used to grade nonsupervisory jobs involved in the modification, fabrication, repair, assembly, and installation of boilers, tanks, condensers, uptakes, stacks, other pressure vessels, and similar structures of heavy-gauge metal plate. ",1
"LABOR","3800","3809","Mobile Equipment Metal Mechanic","http://www.opm.gov/fedclass/fws3809.pdf",NULL,"This standard covers the nonsupervisory work of maintaining and repairing mobile equipment bodies and mainframe groups.  The work requires a knowledge of mobile equipment body construction, the ability to determine the extent of damage and most economical methods of repair, and the skill to remove, fabricate, reshape and replace or repair such damage as, dents, tears, wrinkles, cuts and creases by cutting, knocking out, welding, filling and sanding.  Work is performed on such mobile equipment as passenger cars, trucks, buses, warehouse tractors, fork lifts, ambulances, cranes, fire trucks, and mobile construction equipment. ",1
"LABOR","3800","3820","Shipfitting","http://www.opm.gov/fedclass/fws3820.pdf",NULL,"This standard is to be used for grading nonsupervisory jobs involved in the modification, fabrication, repair, assembly, and installation of various metal structural parts of ships and other vessels.  The work requires knowledge of shipfitting equipment, structures, and metals; skill in laying out, cutting, and shaping of metal parts; and ability to position, align, and secure parts and subassemblies on ships or other vessels.",1
"LABOR","3800","3858","Metal Tank and Radiator Repairing",NULL,NULL,"This occupation includes jobs that involve the troubleshooting, repair, modification, and testing of aircraft and automotive radiators, air coolers, oil temperature regulators, pontoons, and aircraft tanks and reservoirs made of various kinds of metal such as aluminum, copper, brass, stainless steel, and black iron.  The work includes locating and repairing leaks, removing defective parts, and installing new parts.",NULL
"LABOR","3800","3869","Metal Forming Machine Operating","http://www.opm.gov/fedclass/fws3869.pdf",NULL,"This standard covers nonsupervisory work involved in setting up, adjusting, and operating metal forming machines such as sheet metal rolls, brakes, shears, hydraulic or mechanical presses, band saws, blanking presses, punch presses, cut-off saws, flank machines, combination beading machines, planishing machines, shrinking machines, nibblers, power riveters, turret punches, metal stitching machine, drop hammers, and rivet making machines that cut, punch, stamp, draw, shape, and roll cold metal sheets, strips, or wire into desired shapes or contours.  The work includes removing and installing dies, punches, and other accessories; aligning the mating parts, allowing for clearances; replacing worn or damaged parts; feeding the sheet metal into the machines; and manipulating the controls to perform the operations required to form sheet metal parts such as for the skin and frame of aircraft, and proof and finished coins, through extrusion and/or other methods. ",1
"LABOR","3800","3872","Metal Tube Making, Installing, and Repairing",NULL,NULL,"This occupation includes jobs involved in laying out, fabricating, bending, repairing, testing, and installing rigid and flexible metal tubing and welded tube assemblies for use in aircraft hydraulic, fuel, oxygen, and oil systems, and conduits for wiring or cable installations; and forming flat, angular, and channel sheet metal parts into metal tubing and pipe varying radii.  It includes working from blueprints; determining dimensions; selecting or manufacturing bending dies, clamps, and mandrels and mounting them on the machine; making tube bending templates that are used to indicate the number of bends, bend radii, and angle and rotation of bends; and setting up, adjusting, and operating manual, pneumatic, and/or small and large hydraulic tube bending machines, spinning swages, hydraulic forming machines, hydraulic presses, milling machines, and engine lathes to bend pipe, tubing, and sheet metal stock to accurately determined angles and specified radii, to cold draw, expand, bead, and double flare pipe and tubing, and to cut and finish tubing.",NULL
"LABOR","3800","GROUP","METAL WORK FAMILY","http://www.opm.gov/fedclass/html/fwseries.asp#3800",NULL,"This job family includes occupations involved in shaping and forming metal and making and repairing metal parts or equipment and includes such work as the fabrication and assembly of sheet metal parts and equipment; forging and press operations; structural iron working, boilermaking, shipfitting, and other plate metal work; rolling, cutting, stamping, riveting, etc.  It does not include machine tool work.",NULL
"LABOR","3900","3910","Motion Picture Projection","http://www.opm.gov/fedclass/fws3910.pdf",NULL,"This standard is used to grade nonsupervisory work involved in the operation and operational maintenance of motion picture equipment such as 8 mm, 16 mm, fixed and portable 35 mm or film strip silent and sound projectors, accessories, and associated equipment. ",1
"LABOR","3900","3940","Broadcasting Equipment Operating",NULL,NULL,"This occupation includes jobs involved in operating and adjusting transmitters and associated antennas and switchgear, broadcast studio consoles, tape and disk playback and reproduction equipment, recording lathes, and other related equipment and facilities used for originating, recording, receiving, and transmitting radio or television broadcasts, including starting up and shutting down transmitters; adjusting tone, volume, and picture quality of programs; monitoring through loudspeaker, headphone, or video equipment; observing volume indicators; making minor repairs and changing parts; keeping operating log; and receiving news messages.",NULL
"LABOR","3900","GROUP","MOTION PICTURE, RADIO, TELEVISION, AND SOUND EQUIPMENT OPERATION FAMILY","http://www.opm.gov/fedclass/html/fwseries.asp#3900",NULL,"This job family includes occupations involved in setting up, testing, operating, and making minor repairs to equipment such as microphones, sound and radio controls, sound recording equipment, lighting and sound effects devices, television cameras, magnetic video tape recorders, motion picture projectors, and broadcast transmitters used in the production of motion pictures and radio and television programs.  It also includes occupations that involve related work such as operating public address system equipment.",NULL
"LABOR","4000","4010","Prescription Eyeglass Making",NULL,NULL,"This occupation includes jobs that involve grinding and polishing eyeglass lenses to prescription specifications and/or cutting, edging, and mounting lenses in frames.",NULL
"LABOR","4000","GROUP","LENS AND CRYSTAL WORK FAMILY",NULL,NULL,"This job family includes occupations involved in making precision optical elements, crystal blanks or wafers, or other items of glass, crystalline substances, synthetics, polished metals, or similar materials, using such methods as cutting, etching, grinding, polishing, etc.",NULL
"LABOR","4100","4102","Painting","http://www.opm.gov/fedclass/fws4102.pdf",NULL,"This standard is used to grade all nonsupervisory jobs involved in applying coating materials (for example, paint, varnish, lacquer, shellac, epoxy resin, and teflon) on wood, metal, glass, synthetic, concrete, and other surfaces.  This coating work is done with brushes, rollers, spray guns, and other related methods and techniques, and is performed on the insides and outsides of buildings, aircraft, vessels, mobile equipment, fittings, furnishings, machinery, and other surfaces.",1
