"service","category","code","type","status","title","description","moc_url"
"Air Force","Enlisted","1T2X1","AFSC","Active","Pararescue","Performs, plans, leads, supervises, instructs, and evaluates pararescue activities. Performs as the essential surface, air link in Personnel Recovery (PR) and materiel recovery by functioning as the rescue and recovery specialist on flying status as mission crew or as surface elements. Provides rapid response capability and operates in the six geographic disciplines: mountain, desert, arctic, urban, jungle and water, day or night, to include friendly, denied, hostile, or sensitive areas. Provides assistance in and performs survival, evasion, resistance, and escape (SERE). Provides emergency trauma and field medical care, and security. Moves recovered personnel and materiel to safety or friendly control when recovery by aircraft is not possible.",NULL
"Air Force","Enlisted","1U0X1","AFSC","Active","Career Remotely Piloted Aircraft (RPA) Sensor Operator","Performs duties as a mission crew member on unmanned aerospace systems. Employs airborne sensors in manual or computer-assisted modes to actively and/or passively acquire, track, and monitor airborne, maritime and ground objects. Qualified personnel conduct operations and procedures IAW Special Instructions (SPINS), Air Tasking Orders (ATO) and Rules of Engagement (ROE). Crewmembers assist UAS pilots through all phases of employment to include mission planning, flight operations, and debriefings. Continually monitors aircraft and weapons systems status to ensure lethal and non-lethal application of airpower.",NULL
"Air Force","Enlisted","1W0X1","AFSC","Active","Weather","Performs and manages the collection, analysis, and forecast of atmospheric weather and space environmental conditions to enable decision superiority and application of land, air, space and cyberspace power across the full spectrum of military operations.",NULL
"Air Force","Enlisted","1W0X2","AFSC","Active","Special Operations Weather","Performs, plans, leads, supervises, instructs, and evaluates Special Operations Weather Teams. May be employed alone or as part of an Air Force, joint, interagency or coalition force, to support Combatant Commander?s objectives and may operate under austere conditions for extended periods. Capable of operating in the six geographic disciplines: mountain, desert, arctic, urban, jungle and water, day or night, to include friendly, denied, hostile, or sensitive areas. Provides tactical-level intelligence, surveillance and reconnaissance to enable decision superiority and application of airpower across the full spectrum of military operations. Performs and manages the collection, analysis, and forecast of meteorological, oceanographic and space environmental conditions. Tailors forecast information for integration into military decision-making and intelligence preparation of the battlespace activities.",NULL
"Air Force","Enlisted","2A0X0","AFSC","Active","Avionics","Manages and directs maintenance functions and activities. Included are areas of avionics sensors, communications and navigation, guidance and control, airborne warning and control radar, inertial and radar navigation, airborne command post communication systems, avionics test stations, electronic warfare (EW) systems, and avionics support equipment.",NULL
"Air Force","Enlisted","2A0X1","AFSC","Active","Avionics Test Station And Components, Avionics Systems","Performs and manages avionics test station functions and activities. Operates, inspects, maintains, programs, and calibrates computer and manually operated avionics test equipment, support equipment (SE), and aircraft avionics systems components.",NULL
"Air Force","Enlisted","2A3X0","AFSC","Active","Tactical Aircraft","Manages maintenance activities engaged in planning, inspecting, repairing, and servicing tactical aircraft and support equipment (SE).",NULL
"Air Force","Enlisted","2A3X1","AFSC","Active","A-10, F-15, and U-2 Avionics Systems","Isolates malfunctions and repairs and inspects A-10, F-15, and U-2 integrated avionics systems at organizational levels. Inspects, services, and performs general aircraft handling procedures.",NULL
"Air Force","Enlisted","2A3X2","AFSC","Active","Integrated Avionics Systems (Attack/Special)","Maintains CV-22, F-16, F-117, MQ-9, and RQ-4 avionics systems and F-22, F-35, and MQ-1 avionics and electrical & environmental (A&E) systems at the organizational level. Troubleshoots, inspects, removes, installs, repairs, modifies, and operates aircraft A&E systems, components, and associated support equipment. Performs and supervises general aircraft servicing and handling procedures.",NULL
"Air Force","Enlisted","2A3X3","AFSC","Active","Tactical Aircraft Maintenance","Maintains tactical aircraft, support equipment, and forms and records. Performs and supervises flight chief, expediter, crew chief, repair and reclamation, quality assurance, and maintenance support functions.",NULL
"Air Force","Enlisted","2A5X0","AFSC","Active","Aerospace Maintenance","Manages maintenance and staff activities engaged in maintenance planning, inspecting, repairing, and servicing aircraft, helicopters, and aerospace equipment.",NULL
"Air Force","Enlisted","2A5X1","AFSC","Active","Aerospace Maintenance","Maintains aircraft, support equipment (SE), and forms and records. Performs production supervisor, flight chief, expediter, crew chief, support, aero repair, and maintenance functions.",NULL
"Air Force","Enlisted","2A5X2","AFSC","Active","Helicopter/Tiltrotor Maintenance","Performs and supervises helicopter maintenance functions and activities. Inspects, repairs, maintains, and services helicopters and support equipment (SE). Maintains aircraft forms and records. Performs crew chief functions.",NULL
"Air Force","Enlisted","2A5X3","AFSC","Active","Integrated Avionics Systems (Heavy)","Analyzes malfunctions, inspects, removes, maintains, and installs integrated avionics systems. Performs and supervises avionics maintenance and general aircraft servicing and handling.",NULL
"Air Force","Enlisted","2A6X0","AFSC","Active","Aircraft Systems","Manages maintenance functions in aircrew egress systems and aircraft fuel, in-flight refueling, hydraulic, electrical and environmental systems.",NULL
"Air Force","Enlisted","2A6X1","AFSC","Active","Aerospace Propulsion","Inspects, maintains, modifies, tests, and repairs propellers, turboprop and turboshaft engines, jet engines, small gas turbine engines, and engine ground support equipment (SE). Manages aerospace propulsion functions and activities.",NULL
"Air Force","Enlisted","2A6X2","AFSC","Active","Aerospace Ground Equipment","Maintains aerospace ground equipment (AGE) to support aircraft systems or subsystems. Manages AGE functions and activities.",NULL
"Air Force","Enlisted","2A6X3","AFSC","Active","Aircrew Egress Systems","Maintains aircraft egress systems with ejection seats, canopies, and hatches; explosive components; electro-explosive devices (EED); subsystems; and related support equipment (SE).",NULL
"Air Force","Enlisted","2A6X4","AFSC","Active","Aircraft Fuel Systems","Removes, repairs, inspects, installs, and modifies aircraft fuel systems including integral fuel tanks, bladder cells, and external tanks. Maintains associated hardware and equipment.",NULL
"Air Force","Enlisted","2A6X5","AFSC","Active","Aircraft Hydraulic Systems","Troubleshoots, removes, repairs, overhauls, inspects, adjusts, installs, and tests aircraft hydraulic and IFR systems and components, including support equipment (SE).",NULL
"Air Force","Enlisted","2A6X6","AFSC","Active","Aircraft Electrical And Environmental Systems","Performs and supervises aircraft electrical and environmental (E & E) functions and activities. Troubleshoots, inspects, removes, installs, repairs, modifies, overhauls, and operates integrated E & E systems, components, and associated support equipment.",NULL
"Air Force","Enlisted","2A7X0","AFSC","Active","Aircraft Fabrication","Manages activities to accomplish aircraft structural maintenance, metals technology, survival equipment maintenance, and nondestructive inspection.",NULL
"Air Force","Enlisted","2A7X1","AFSC","Active","Aircraft Metals Technology","Designs, welds, heat treats, fabricates, and machines precision tools, components, and assemblies for aerospace weapon systems and related support equipment (SE).",NULL
"Air Force","Enlisted","2A7X2","AFSC","Active","Nondestructive Inspection","Inspects aerospace weapon systems components and support equipment for structural integrity using nondestructive inspection methods and performs fluid analysis.",NULL
"Air Force","Enlisted","2A7X3","AFSC","Active","Aircraft Structural Maintenance","Designs, repairs, modifies and fabricates aircraft, metal, plastic, composite, advanced composite, low observables, and bonded structural parts and components. Applies preservative treatments to aircraft, missiles, and support equipment (SE). Related DoD Occupational Subgroup: 603.",NULL
"Air Force","Enlisted","2A7X5","AFSC","Active","Low Observable Aircraft Structural Maintenance","Evaluates, installs, removes and repairs low observable coatings. Designs, repairs, modifies and fabricates aircraft, metal, plastic, composite, advanced composite, LO, and bonded structural parts and components. Applies preservative treatments to aircraft, aerospace ground equipment (AGE), and support equipment (SE).",NULL
"Air Force","Enlisted","2F0X1","AFSC","Active","Fuels","Maintains and operates petroleum, missile and alternative fuels and cryogenic facilities and equipment. Receives, stores, and issues petroleum fuels and cryogenics products. Performs quality analysis on petroleum and cryogenics products. Performs in-depth maintenance on fuels handling vehicles and equipment dispensing systems and operator maintenance on facilities. Prepares receipt, inventory, and issue documents for fuels and cryogenic products accounting. Operates specialized mobility fuels equipment.",NULL
"Air Force","Enlisted","2G0X1","AFSC","Active","Logistics Plans","Develops, evaluates, monitors, and supervises logistics plans and programs including war reserve materiel (WRM), deployments, employment, and support agreements.",NULL
"Air Force","Enlisted","2M0X0","AFSC","Active","Missile And Space Systems Maintenance","Manages maintenance, processing, acquisition, and operation of ground and air launched missiles, aircraft missile rotary launchers and pylons, spacelift boosters, payloads, related subsystems, test, calibration, support and handling equipment, and facilities. Manages activities associated with research and development (R&D) systems.",NULL
"Air Force","Enlisted","2M0X1","AFSC","Active","Missile And Space Systems Electronic Maintenance","Maintains, operates, and supervises maintenance on ground and air missiles, spacelift boosters, payloads, guidance and control systems, and subsystems. Monitors, analyzes, and compiles system performance data. Performs and supervises maintenance on automated and manual electronic test, launch control, checkout, and support equipment (SE). Designs and supervises assembly, calibration, operation, troubleshooting, and testing of research and development (R&D) systems and SE.",NULL
"Air Force","Enlisted","2M0X2","AFSC","Active","Missile And Space Systems Maintenance","Services and maintains, or supervises these actions, on missiles, spacelift boosters, payloads, research and development (R&D) systems, environmental blast doors and valves, associated subsystems, components, and support equipment (SE). . Operates and maintains related equipment. Designs R&D systems. Performs acquisition and activation activities.",NULL
"Air Force","Enlisted","2M0X3","AFSC","Active","Missile And Space Facilities","Maintains, operates, services, and repairs power generation and distribution systems, and environmental control and associated support systems and equipment for missile, spacelift, and research and development (R&D) facilities.",NULL
"Air Force","Enlisted","2P0X1","AFSC","Active","Precision Measurement Equipment Laboratory","Performs and manages repair, calibration, and modification of test, measurement, and diagnostic equipment (TMDE), including precision measurement equipment laboratory (PMEL) standards and automatic test equipment. Supervises the process or use of TMDE to perform voltage, current, power, impedance, frequency, microwave, temperature, physical-dimensional, and radiac measurements.",NULL
"Air Force","Enlisted","2R0X0","AFSC","Active","Maintenance Management,","Monitors, collects, assembles, and audits data for reports and briefings. Initiates special studies and investigations, and performs statistical analysis. Informs managers of significant factors affecting the mission. Manages and operates maintenance management information systems (MIS). Plans, schedules and organizes use and maintenance of aircraft, engines, munitions, and associated aerospace ground equipment (AGE). Supervises documentation and maintenance of aircraft, engine, missiles, munitions, and associated AGE records. Maintains generation flow plans for units required meeting emergency war order and wartime taskings. Monitors maintenance scheduling effectiveness.",NULL
"Air Force","Enlisted","2R0X1","AFSC","Active","Maintenance Management Analysis","Monitors, collects, assembles, and audits data for reports and briefings. Initiates special studies and investigations, and performs statistical analysis. Reports findings to managers with recommendations. Informs managers of significant factors affecting the mission. Manages and operates maintenance management information systems (MIS), and performs functional system administrator (FSA) duties.",NULL
"Air Force","Enlisted","2R1X1","AFSC","Active","Maintenance Management Production,","Plans, schedules and organizes use and maintenance of aircraft, engines, munitions, missiles, space systems, aerospace ground equipment (AGE), and associated support systems. Documents and maintains aircraft, engines, missiles, munitions, AGE, and associated support systems records. Maintains generation flow plans for units required to meet emergency war order and wartime tasking. Analyzes maintenance information and requirements and develops visual presentations. Monitors aircraft maintenance scheduling effectiveness.",NULL
"Air Force","Enlisted","2S0X1","AFSC","Active","Materiel Management","Directs materiel management activities involved in developing, operating, implementing and analyzing manual and automated integrated logistics systems. Manages item and monetary accounting, inventory control, financial planning and warehousing functions. Monitors and operates the Standard Base Supply System (SBSS) and associated logistics systems interfaces. When assigned to combat support or enabler organizations, provides materiel management expertise as related to SBSS processes, accountable officer, responsible officer, and responsible person obligations.",NULL
"Air Force","Enlisted","2T0X1","AFSC","Active","Traffic Management","Performs and manages traffic management activities. Uses military and commercial transportation to move personnel, eligible dependents, material, and property. Packages, classifies, and arranges personal property and cargo for shipment or storage.",NULL
"Air Force","Enlisted","2T1X1","AFSC","Active","Vehicle Operations","Performs the Air Force organic ground transportation capability for passengers and cargo using a multitude of vehicles in direct support of mission requirements. This includes operating light and heavy-duty vehicles such as buses, truck and semi-trailer combinations, forklifts, and wrecker/recovery vehicles. Supports personal security details. Performs motor vehicle preventative maintenance checks and services. Plans organizes, and directs vehicle transportation to support operational missions.",NULL
"Air Force","Enlisted","2T2X1","AFSC","Active","Air Transportation","Performs and manages air transportation activities. Plans, schedules and processes eligible passengers and cargo for air movement. Loads and unloads passengers, cargo, and baggage moved on military and commercial-contract aircraft. Prepares and maintains air movement records and reports. Performs aircraft cleaning services and delivers meals and comfort item supplies to aircraft. Operates forklifts and aircraft loading equipment. Uses computer systems to provide in-transit visibility over passenger and cargo movement operations.",NULL
"Air Force","Enlisted","2T3X0","AFSC","Active","Vehicle And Vehicular Equipment Maintenance","Manages the vehicle fleet. Activities include the management of vehicle authorization listings, vehicle buy and vehicle control programs and associated maintenance requirements such as inspection, diagnostics, repair, modification, refinishing, and data collection for the vehicle and equipment fleet. Programs include maintenance and fleet management analysis, quality assurance, training and material control.",NULL
"Air Force","Enlisted","2T3X1","AFSC","Active","Vehicle And Vehicular Equipment Maintenance","Performs vehicle maintenance activities on military and commercial design general and special purpose, base maintenance, aircraft and equipment towing vehicles, and vehicular equipment. Activities include inspection, diagnostics, repair, rebuild of components and assemblies and welds metals and cuts vehicle glass.",NULL
"Air Force","Enlisted","2T3X2","AFSC","Active","Special Vehicle Maintenance","Performs vehicle maintenance activities on military and commercial design fire fighting vehicles and equipment. Activities include inspection, diagnostics, repair, and rebuild of components and assemblies.",NULL
"Air Force","Enlisted","2T3X7","AFSC","Active","Vehicle Management and Analysis","Supervises and performs the scheduling and analysis of maintenance performed on vehicles and equipment. Uses a computer to manage the vehicle data collection system and develops local retrievals to obtain specific data. Files historical data and maintains vehicle records.",NULL
"Air Force","Enlisted","2W0X1","AFSC","Active","Munitions Systems","Performs and manages munitions production and materiel tasks and activities. Identifies munitions and equipment requirements. Operates and maintains automated data processing equipment (ADPE) to perform munitions accounting, computations, and research. Stores, maintains, assembles, issues, and delivers assembled nonnuclear munitions. Routinely demilitarizes nonhazardous munitions. Operates and maintains munitions materiel handling equipment (MMHE). Develops and implements munitions materiel management concepts and procedures. Complies with explosive, missile, and ground safety, security, and environmental directives and practices. Receives, stores, handles, transports, and accounts for nuclear weapons.",NULL
"Air Force","Enlisted","2W1X1","AFSC","Active","Aircraft Armament Systems","Loads and unloads nuclear and nonnuclear munitions, explosives, and propellant devices on aircraft. Manages, controls, maintains, and installs aircraft bomb, rocket, and missile release, launch, suspension, and monitor systems; guns and gun mounts; and related munitions handing, loading, and test equipment.",NULL
"Air Force","Enlisted","2W2X1","AFSC","Active","Nuclear Weapons","Performs and manages maintenance, inspection, storage, handling, modification, accountability and repair of nuclear weapons, weapon components, associated equipment, and general or specialized test and handling equipment.",NULL
"Air Force","Enlisted","3A0X1","AFSC","Active","Knowledge Operations Management","Performs, supervises, or manages data, information, and knowledge-sharing services in a fixed and expeditionary environment. Includes planning, coordinating, sharing, and controlling an organization?s data and information assets. Manages technologies to capture, organize, and store tacit and explicit knowledge. Performs, supervises, and manages client software and hardware tasks and functions.",NULL
"Air Force","Enlisted","3C0X0","AFSC","Active","Communications - Computer Systems","CEM codes in many cases are made up of a series of existing superintendent specialties where the degree of supervisory and managerial task involvement permits expanded resource use. As chief enlisted managers, chief master sergeants will be subject to working in a variety of similar jobs and functional areas where their general managerial and supervisory abilities can be most effectively used and challenged.",NULL
"Air Force","Enlisted","3C0X1","AFSC","Active","Communications - Computer Systems Operations","Supervises and performs Communications-Computer Systems (C-CS) operations and executes associated information systems support programs, both in garrison and at deployed locations. Performs network management, control, and administration on DoD local, metropolitan, wireless and wide area networks, and Command, Control, Communications, Computer (C4) and Intelligence systems, Defense Message Systems (DMS), Automated Message Handling Systems (AMHS), command and control, and various functional area systems. Administers and manages overall Information Assurance (IA) program to include Communications Security (COMSEC), Emissions Security (EMSEC) and Computer Security (COMPUSEC) programs. Provides information systems life-cycle management.",NULL
"Air Force","Enlisted","3C0X2","AFSC","Active","Communications - Computer Systems Programming","Supervises and performs as Communications-Computer Systems (C-CS) analysts, coders, testers and managers in the design, development, maintenance, testing, configuration management, and documentation of application software systems, client-server, and web-enabled software and relational database systems critical to war-fighting and intelligence capabilities.",NULL
"Air Force","Enlisted","3C1X1","AFSC","Active","Radio Communications Systems","Operates, deploys, and sustains radio transmitters, receivers, and ancillary equipment for line-of-sight, air-to-ground, and satellite communications (SATCOM). Provides multiple spectrum (HF, VHF, UHF, SHF, EHF) communications in fixed and tactical environments. Configures antenna and radio equipment for efficient operations. Establishes and maintains secure and non-secure communications links with distant stations. Operates terminal control consoles and monitors system performance indicators. Implements operational directives. Manages communications facilities and activities to include: Satellite Communications, Tactical Operations, Combat Crew Communications (CCC) and Air/Ground communications.",NULL
"Air Force","Enlisted","3C1X2","AFSC","Active","Electromagnetic Spectrum Management","Manages, supervises, and performs electromagnetic spectrum management activities.",NULL
"Air Force","Enlisted","3C2X1","AFSC","Active","Network Integration","Operates, monitors, secures, and controls the physical, data link, network, and transport layers of garrison and tactical Communications-Computer Systems (C-CS) encompassing local and wide area networks, end-to-end telecommunications and circuit switching systems, long-haul transmission, and the global information grid. Performs, coordinates, and supervises their design, configuration, operation, restoration, and improvements. Analyzes their capabilities and performance, identifies problems, and takes corrective action. Operates cryptographic equipment. Fabricates cable assemblies. Performs C-CS control facility quality assurance evaluation. Directs and makes operational adjustments to C-CS equipment.",NULL
"Air Force","Enlisted","3C3X1","AFSC","Active","Communications - Computer Systems Planning And Implementation","Manages, supervises, and performs communications-computer systems (C-CS) planning and implementation activities. Focal point for base C-CS planning. Manages implementation of C-CS projects and ensures C-CS architecture, configuration, and integration conformity. Manages C-CS project installation and services contracts.",NULL
"Air Force","Enlisted","3D0X0","AFSC","Active","Cyber Operations","Manages system analysis and design, programming, systems operation and maintenance, resource management and security management. Directs activities for installing, maintaining, repairing, overhauling, deploying, and modifying cyberspace systems and equipment platforms. In addition, manages and directs network warfare operations in garrison and at deployed locations by performing duties to develop, sustain, and enhance network and electromagnetic capabilities to defend national interests from attack and to create effects in the cyberspace domain to achieve national objectives. Ensures personnel are trained, equipped, and available to perform the assigned mission.",NULL
"Air Force","Enlisted","3D0X1","AFSC","Active","Knowledge Operations Management","Performs, supervises, or manages data, information, and knowledge-sharing services in a fixed and expeditionary environment. Includes planning, coordinating, sharing, and controlling an organization?s data and information assets. Manages technologies to capture, organize, and store tacit and explicit knowledge.",NULL
"Air Force","Enlisted","3D0X2","AFSC","Active","Cyber Systems Operations","Installs, supports and maintains servers or other computer systems and plans for responding to service outages and interruptions to network operations. Administers server-based networked systems, distributed applications, network storage, messaging, and application monitoring required to provision, sustain, operate and integrate cyber networked systems and applications in garrison and at deployed locations. Core competencies include: server operating systems, database administration, web technologies, systems-related project management and supervising computer operators as well as consultant for computer-based problems beyond the knowledge of Client Systems technicians. Supports identification, reconnaissance and exploitation of vulnerabilities while enhancing capabilities within cyber environments to achieve desired affects.",NULL
"Air Force","Enlisted","3D0X3","AFSC","Active","Cyber Surety","Supervises or operates fixed and deployed information technology (IT) and telecommunications resources to monitor, evaluate and maintain systems, policy and procedures to protect clients, networks, data/voice systems and databases from unauthorized activity. Identifies potential threats and manages resolution of security violations. Enforces national, DoD and Air Force security policies and directives; employs hardware and software tools to enhance the security by installing, monitoring and directing proactive and reactive information protection and defensive measures to ensure Confidentiality, Integrity and Availability (CIA) of IT resources. Administers and manages the overall Information Assurance (IA) program to include Communications Security (COMSEC), Emissions Security (EMSEC) and Computer Security (COMPUSEC) programs.",NULL
"Air Force","Enlisted","3D0X4","AFSC","Active","Computer Systems Programming","Supervises and performs as computer analyst, coder, tester and manager in the design, development, maintenance, testing, configuration management, and documentation of application software systems, client-server, and web-enabled software and relational database systems critical to warfighting capabilities.",NULL
